cp5,municipio,municipio_consolidado,provincia_consolidada
39770,Laredo,Laredo,Cantabria
40173,Santiuste de Pedraza,Arahuetes,Segovia
40530,Aldeonte,Aldeonte,Segovia
42311,Caracena,Burgo de Osma-Ciudad de Osma,Soria
43320,Tivissa,Pratdip,Tarragona
44494,Villahermosa del Campo,Villahermosa del Campo,Teruel
44651,Cerollera,Cerollera,Teruel
44770,Escucha,Escucha,Teruel
44779,Escucha,Escucha,Teruel
45160,Guadamur,Guadamur,Toledo
46860,Albaida,Albaida,Valencia
47440,Cogeces de Íscar,Cogeces de Íscar,Valladolid
48309,Errigoiti,Forua,Vizcaya
49030,Zamora,Zamora,Zamora
49320,Robleda-Cervantes,Robleda-Cervantes,Zamora
49590,Matilla la Seca,Matilla la Seca,Zamora
50020,Zaragoza,Zaragoza,Zaragoza
50792,Chiprana,Chiprana,Zaragoza
2450,Alcaraz,Alcaraz,Albacete
3208,Elche/Elx,Elche/Elx,Alicante
3841,Cocentaina,Cocentaina,Alicante
6195,Badajoz,Badajoz,Badajoz
7819,Eivissa,Santa Eulalia del Río,Baleares
7820,Sant Antoni de Portmany,Sant Antoni de Portmany,Baleares
8519,Sant Sadurní d'Osormort,Sant Bartomeu del Grau,Barcelona
8870,Sant Pere de Ribes,Sitges,Barcelona
8901,Hospitalet de Llobregat,Hospitalet de Llobregat,Barcelona
9109,Villasandino,Castrojeriz,Burgos
9211,Partido de la Sierra en Tobalina,Oña,Burgos
9347,Puentedura,Lerma,Burgos
9559,Merindad de Valdivielso,Oña,Burgos
9611,Hacinas,Hacinas,Burgos
10162,Casas de Don Antonio,Casas de Don Antonio,Cáceres
10330,Villar del Pedroso,Villar del Pedroso,Cáceres
11659,Puerto Serrano,Puerto Serrano,Cádiz
15122,Camariñas,Camariñas,A Coruña
15330,Ortigueira,Ortigueira,A Coruña
15823,Pino,Pino,A Coruña
16739,Torrubia del Castillo,Torrubia del Castillo,Cuenca
18240,Pinos Puente,Pinos Puente,Granada
18381,Illora,Illora,Granada
18520,Alamedilla,Alamedilla,Granada
18570,Deifontes,Deifontes,Granada
19432,Torremocha del Campo,Torremocha del Campo,Guadalajara
21850,Villarrasa,Villarrasa,Huelva
22715,Jaca,Jaca,Huesca
23298,Santiago-Pontones,Santiago-Pontones,Jaén
24379,Torre del Bierzo,Torre del Bierzo,León
24434,Fabero,Vega de Espinareda,León
24517,Corullón,Corullón,León
25267,Sant Martí de Riucorb,Sant Martí de Riucorb,Lérida
25360,Tàrrega,Tàrrega,Lérida
26311,Cárdenas,Camprovín,La Rioja
26525,Igea,Igea,La Rioja
28400,Collado Villalba,Galapagar,Madrid
28729,Valdemanco,Valdemanco,Madrid
29710,Periana,Periana,Málaga
30110,Murcia,Murcia,Murcia
30611,Ojós,Ojós,Murcia
31580,Lodosa,Lodosa,Navarra
31867,Iza/Itza,Iza/Itza,Navarra
32211,Gomesende,Cortegada,Ourense
33449,Carreño,Carreño,Asturias
34005,Palencia,Palencia,Palencia
34320,Cisneros,Cisneros,Palencia
34419,Villalobón,Amusco,Palencia
34878,Congosto de Valdavia,Santibáñez de la Peña,Palencia
35219,Telde,Telde,Las Palma
35620,Tuineje,Tuineje,Las Palma
36590,Vila de Cruces,Vila de Cruces,Pontevedra
36679,Cuntis,Cuntis,Pontevedra
37150,Villaseco de los Reyes,Villaseco de los Reyes,Salamanca
37273,Cerralbo,Cerralbo,Salamanca
38416,Realejos,Realejos,Santa Cruz de Tenerife
39012,Santander,Santander,Cantabria
40184,Rebollo,Arahuetes,Segovia
41015,Sevilla,Sevilla,Sevilla
41449,Alcolea del Río,Alcolea del Río,Sevilla
43412,Vallbona de les Monges,Vallbona de les Monges,Lérida
43430,Vimbodí i Poblet,Vimbodí i Poblet,Tarragona
44478,Olba,Olba,Teruel
44566,Parras de Castellote,Aguaviva,Teruel
46339,Camporrobles,Camporrobles,Valencia
48287,Ea,Ea,Vizcaya
49149,Montamarta,Montamarta,Zamora
49352,Galende,Galende,Zamora
50139,Zaragoza,Zaragoza,Zaragoza
50369,Lechón,Lechón,Zaragoza
50373,Santed,Berrueco,Zaragoza
1193,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava
2240,Mahora,Mahora,Albacete
3111,Busot,Busot,Alicante
5320,Cardeñosa,Cardeñosa,Ávila
6003,Badajoz,Badajoz,Badajoz
6197,Entrín Bajo,Entrín Bajo,Badajoz
6518,Codosera,Codosera,Badajoz
7130,Palma,Palma,Baleares
7669,Santanyí,Santanyí,Baleares
8207,Sabadell,Sabadell,Barcelona
8340,Vilassar de Mar,Vilassar de Mar,Barcelona
8923,Santa Coloma de Gramenet,Santa Coloma de Gramenet,Barcelona
9199,Arlanzón,Burgos,Burgos
9613,Vizcaínos,Salas de los Infantes,Burgos
10252,Torrecillas de la Tiesa,Torrecillas de la Tiesa,Cáceres
10666,Aceituna,Santibáñez el Bajo,Cáceres
10866,Descargamaría,Descargamaría,Cáceres
11314,San Roque,San Roque,Cádiz
13750,Castellar de Santiago,Castellar de Santiago,Ciudad Real
14620,Carpio,Carpio,Córdoba
15937,Boiro,Boiro,A Coruña
16118,Hontecillas,Olmedilla de Alarcón,Cuenca
17214,Regencós,Regencós,Gerona
17258,Torroella de Montgrí,Torroella de Montgrí,Gerona
18191,Pinos Genil,Pinos Genil,Granada
18330,Chauchina,Atarfe,Granada
18330,Santa Fe,Atarfe,Granada
19262,Sigüenza,Sigüenza,Guadalajara
19390,Valhermoso,Corduente,Guadalajara
21350,Almonaster la Real,Almonaster la Real,Huelva
22121,Siétamo,Siétamo,Huesca
24149,Barrios de Luna,Barrios de Luna,León
24206,Valdemora,Villabraz,León
25141,Torregrossa,Torregrossa,Lérida
25199,Lleida,Lleida,Lérida
25748,Vilanova de l'Aguda,Oliola,Lérida
26220,Ollauri,Ollauri,La Rioja
27317,Ribas de Sil,Ribas de Sil,Lugo
27822,Vilalba,Vilalba,Lugo
28013,Madrid,Madrid,Madrid
28054,Madrid,Madrid,Madrid
29312,Villanueva del Rosario,Villanueva del Rosario,Málaga
29718,Benamargosa,Vélez-Málaga,Málaga
30399,Cartagena,Cartagena,Murcia
30566,Torres de Cotillas,Torres de Cotillas,Murcia
30708,Torre-Pacheco,Torre-Pacheco,Murcia
31005,Pamplona/Iruña,Pamplona/Iruña,Navarra
31692,Garaioa,Abaurregaina/Abaurrea Alta,Navarra
32665,Allariz,Allariz,Ourense
33799,Boal,Boal,Asturias
34260,Valles de Palenzuela,Valles de Palenzuela,Burgos
34813,Pomar de Valdivia,Aguilar de Campoo,Palencia
35004,Palmas de Gran Canaria,Palmas de Gran Canaria,Las Palma
36844,Pazos de Borbén,Pazos de Borbén,Pontevedra
36846,Fornelos de Montes,Fornelos de Montes,Pontevedra
37267,Villares de Yeltes,Villares de Yeltes,Salamanca
38617,Granadilla de Abona,Granadilla de Abona,Santa Cruz de Tenerife
39710,Medio Cudeyo,Medio Cudeyo,Cantabria
39749,Santoña,Santoña,Cantabria
40444,Melque de Cercos,Melque de Cercos,Segovia
43791,Ascó,Ascó,Tarragona
44147,Cedrillas,Cedrillas,Teruel
44432,Alcalá de la Selva,Alcalá de la Selva,Teruel
44741,Fuenferrada,Fuenferrada,Teruel
46114,Vinalesa,Vinalesa,Valencia
47881,Tiedra,Tiedra,Valladolid
48800,Balmaseda,Balmaseda,Vizcaya
49032,Zamora,Zamora,Zamora
49180,Almaraz de Duero,Almaraz de Duero,Zamora
49182,San Pedro de la Nave-Almendra,San Pedro de la Nave-Almendra,Zamora
49513,Fonfría,Fonfría,Zamora
49562,Villardeciervos,Villardeciervos,Zamora
50021,Zaragoza,Zaragoza,Zaragoza
50430,María de Huerva,María de Huerva,Zaragoza
51004,Ceuta,Ceuta,CEUTA
1196,Zigoitia,Vitoria-Gasteiz,Álava
2154,Pozo-Lorente,Jorquera,Albacete
2636,Villalgordo del Júcar,Villalgordo del Júcar,Albacete
4003,Almería,Almería,Almería
4660,Arboleas,Arboleas,Almería
5147,Gallegos de Sobrinos,Hurtumpascual,Ávila
6429,Benquerencia de la Serena,Benquerencia de la Serena,Badajoz
7198,Palma,Palma,Baleares
8037,Barcelona,Barcelona,Barcelona
8183,Castellcir,Castellcir,Barcelona
8278,Mura,Mura,Barcelona
9110,Castrojeriz,Castrojeriz,Burgos
9490,Brazacorta,Peñaranda de Duero,Burgos
9540,Trespaderne,Trespaderne,Burgos
10390,Saucedilla,Saucedilla,Cáceres
10617,Torno,Rebollar,Cáceres
10720,Villar de Plasencia,Villar de Plasencia,Cáceres
12163,Culla,Culla,Castellón
13415,Almodóvar del Campo,Almodóvar del Campo,Ciudad Real
14240,Belmez,Belmez,Córdoba
14297,Fuente Obejuna,Fuente Obejuna,Córdoba
15543,Valdoviño,Valdoviño,A Coruña
16709,Vara de Rey,Vara de Rey,Cuenca
17456,Caldes de Malavella,Caldes de Malavella,Gerona
17730,Llers,Llers,Gerona
17833,Vilademuls,Vilademuls,Gerona
18311,Zagra,Loja,Granada
18380,Illora,Illora,Granada
20268,Tolosa,Tolosa,Guipúzcoa
20492,Berastegi,Berastegi,Guipúzcoa
22483,Valle de Lierp,Torre la Ribera,Huesca
23639,Villatorres,Jaén,Jaén
24250,Valdevimbre,Chozas de Abajo,León
24566,Oencia,Oencia,León
24857,Boñar,Boñar,León
25213,Ribera d'Ondara,Cervera,Lérida
25612,Os de Balaguer,Os de Balaguer,Lérida
26132,Leza de Río Leza,Santa Engracia del Jubera,La Rioja
27272,Pol,Pol,Lugo
27624,Samos,Samos,Lugo
27878,Xove,Xove,Lugo
28419,Boalo,Boalo,Madrid
28944,Fuenlabrada,Fuenlabrada,Madrid
29005,Málaga,Málaga,Málaga
31133,Uterga,Uterga,Navarra
31592,Cintruénigo,Cintruénigo,Navarra
33171,Ribera de Arriba,Oviedo,Asturias
33330,Colunga,Colunga,Asturias
33423,Llanera,Llanera,Asturias
33783,Valdés,Valdés,Asturias
33900,Langreo,Langreo,Asturias
35572,Tías,Tías,Las Palma
36207,Vigo,Vigo,Pontevedra
36613,Vilagarcía de Arousa,Vilagarcía de Arousa,Pontevedra
36667,Moraña,Moraña,Pontevedra
37173,Trabanca,Ahigal de Villarino,Salamanca
38291,Rosario,San Cristóbal de La Laguna,Santa Cruz de Tenerife
38916,Valverde,Valverde,Santa Cruz de Tenerife
39549,Val de San Vicente,Val de San Vicente,Cantabria
39577,Vega de Liébana,Vega de Liébana,Cantabria
40195,Segovia,Segovia,Segovia
40445,Juarros de Voltoya,Juarros de Voltoya,Segovia
41008,Sevilla,Sevilla,Sevilla
42193,Burgo de Osma-Ciudad de Osma,Burgo de Osma-Ciudad de Osma,Soria
43380,Vilaplana,Vilaplana,Tarragona
43412,Solivella,Vallbona de les Monges,Tarragona
43516,Godall,Godall,Tarragona
43712,Llorenç del Penedès,Llorenç del Penedès,Tarragona
43720,Arboç,Arboç,Tarragona
43839,Torredembarra,Torredembarra,Tarragona
48145,Ubide,Ubide,Vizcaya
48289,Gizaburuaga,Gizaburuaga,Vizcaya
49162,Andavías,Andavías,Zamora
50694,Biota,Ejea de los Caballeros,Zaragoza
1450,Amurrio,Amurrio,Álava
2480,Yeste,Yeste,Albacete
2530,Nerpio,Nerpio,Albacete
3002,Alicante/Alacant,Alicante/Alacant,Alicante
4479,Fondón,Fondón,Almería
4479,Paterna del Río,Fondón,Almería
4640,Pulpí,Pulpí,Almería
5115,Serranillos,Serranillos,Ávila
5211,Cisla,Cisla,Ávila
6293,Cabeza la Vaca,Cabeza la Vaca,Badajoz
6691,Alía,Alía,Cáceres
7121,Palma,Palma,Baleares
8182,Sant Feliu de Codines,Sant Feliu de Codines,Barcelona
8459,Sant Antoni de Vilamajor,Sant Antoni de Vilamajor,Barcelona
8789,Torre de Claramunt,Carme,Barcelona
9268,Valmala,Rábanos,Burgos
9310,Villatuelda,Tórtoles de Esgueva,Burgos
9618,Santibáñez del Val,Santibáñez del Val,Burgos
10291,Trujillo,Trujillo,Cáceres
12450,Jérica,Jérica,Castellón
13117,Anchuras,Anchuras,Ciudad Real
13433,Caracuel de Calatrava,Caracuel de Calatrava,Ciudad Real
15198,Culleredo,Culleredo,A Coruña
15228,Ames,Ames,A Coruña
17240,Llagostera,Santa Cristina d'Aro,Gerona
18230,Atarfe,Atarfe,Granada
19220,Humanes,Humanes,Guadalajara
19269,Riofrío del Llano,Sigüenza,Guadalajara
22410,Alcolea de Cinca,Alcolea de Cinca,Huesca
22830,Peñas de Riglos,Jaca,Huesca
23311,Santo Tomé,Santo Tomé,Jaén
23693,Castillo de Locubín,Castillo de Locubín,Jaén
24120,Soto y Amío,Soto y Amío,León
24163,Villasabariego,Vegas del Condado,León
24439,Vega de Espinareda,Vega de Espinareda,León
25651,Abella de la Conca,Isona i Conca Dellà,Lérida
25795,Ribera d'Urgellet,Montferrer i Castellbò,Lérida
26312,Bezares,Tricio,La Rioja
27740,Mondoñedo,Mondoñedo,Lugo
27742,Mondoñedo,Mondoñedo,Lugo
27794,Barreiros,Barreiros,Lugo
28780,Colmenar Viejo,Colmenar Viejo,Madrid
29003,Málaga,Málaga,Málaga
29013,Málaga,Málaga,Málaga
29730,Rincón de la Victoria,Rincón de la Victoria,Málaga
30876,Lorca,Lorca,Murcia
31671,Aria,Hiriberri/Villanueva de Aezkoa,Navarra
31829,Ergoiena,Ergoiena,Navarra
34170,Autilla del Pino,Villaumbrales,Palencia
34491,Villaprovedo,Santa Cruz de Boedo,Palencia
35139,Mogán,Mogán,Las Palma
36153,Pontevedra,Pontevedra,Pontevedra
36640,Pontecesures,Pontecesures,Pontevedra
36880,Cañiza,Cañiza,Pontevedra
36949,Cangas,Cangas,Pontevedra
37185,Villamayor,Castellanos de Villiquera,Salamanca
37488,San Pedro de Rozados,San Pedro de Rozados,Salamanca
39764,Voto,Voto,Cantabria
40312,Duruelo,Sepúlveda,Segovia
41730,Cabezas de San Juan,Cabezas de San Juan,Sevilla
44191,Cascante del Río,Valacloche,Teruel
44409,Cabra de Mora,Castellar,Teruel
44589,Portellada,Portellada,Teruel
45642,Cardiel de los Montes,Cardiel de los Montes,Toledo
45710,Madridejos,Madridejos,Toledo
48620,Gorliz,Gorliz,Vizcaya
49173,Pereruela,Pereruela,Zamora
49253,Moralina,Moralina,Zamora
49542,Vegalatrave,Gallegos del Río,Zamora
50293,Terrer,Terrer,Zaragoza
1171,Legutio,Legutio,Álava
2449,Molinicos,Elche de la Sierra,Albacete
2485,Yeste,Yeste,Albacete
4270,Sorbas,Sorbas,Almería
4879,Purchena,Purchena,Almería
5211,Cabezas del Pozo,Cisla,Ávila
5212,Fuentes de Año,Villanueva del Aceral,Ávila
6479,Cristina,Cristina,Badajoz
6890,Valverde de Mérida,Valverde de Mérida,Badajoz
7012,Palma,Palma,Baleares
7600,Palma,Palma,Baleares
8259,Rajadell,Fonollosa,Barcelona
8296,Monistrol de Montserrat,Monistrol de Montserrat,Barcelona
8690,Santa Coloma de Cervelló,Santa Coloma de Cervelló,Barcelona
10370,Deleitosa,Deleitosa,Cáceres
10818,Casillas de Coria,Casillas de Coria,Cáceres
12414,Vall de Almonacid,Segorbe,Castellón
14830,Espejo,Espejo,Córdoba
15540,Narón,Narón,A Coruña
15824,Touro,Pino,A Coruña
16260,Minglanilla,Minglanilla,Cuenca
16650,Mesas,Mesas,Cuenca
17467,"Saus, Camallera i Llampaies","Saus, Camallera i Llampaies",Gerona
18516,Marchal,Beas de Guadix,Granada
18817,Benamaurel,Benamaurel,Granada
18860,Guadix,Guadix,Granada
19209,Villanueva de la Torre,Villanueva de la Torre,Guadalajara
23537,Bedmar y Garcíez,Bedmar y Garcíez,Jaén
23669,Alcaudete,Alcaudete,Jaén
24248,Urdiales del Páramo,Laguna Dalga,León
24500,Villafranca del Bierzo,Villafranca del Bierzo,León
25286,Navès,Bassella,Lérida
26372,Hornos de Moncalvillo,Hornos de Moncalvillo,La Rioja
26533,Navajún,Navajún,La Rioja
27391,Quiroga,Pobra do Brollón,Lugo
28032,Madrid,Madrid,Madrid
29793,Torrox,Vélez-Málaga,Málaga
30369,Cartagena,Cartagena,Murcia
30870,Mazarrón,Mazarrón,Murcia
31487,Liédena,Liédena,Navarra
32160,Nogueira de Ramuín,Nogueira de Ramuín,Ourense
32707,Maceda,Maceda,Ourense
33877,Tineo,Tineo,Asturias
34405,Santa Cruz de Boedo,Melgar de Fernamental,Palencia
35412,Arucas,Arucas,Las Palma
36194,Barro,Barro,Pontevedra
36612,Catoira,Catoira,Pontevedra
37159,Villaseco de los Reyes,Villaseco de los Reyes,Salamanca
37214,Vídola,Valsalabroso,Salamanca
37787,Pelayos,Pelayos,Salamanca
37798,Castellanos de Villiquera,Castellanos de Villiquera,Salamanca
37799,Palencia de Negrilla,Valdunciel,Salamanca
37894,Villagonzalo de Tormes,Villagonzalo de Tormes,Salamanca
38595,Granadilla de Abona,Granadilla de Abona,Santa Cruz de Tenerife
39539,Reocín,Alfoz de Lloredo,Cantabria
40194,Trescasas,Palazuelos de Eresma,Segovia
42351,Fuentearmegil,Burgo de Osma-Ciudad de Osma,Soria
43206,Reus,Reus,Tarragona
44459,Camarena de la Sierra,Camarena de la Sierra,Teruel
44492,Allueva,Fonfría,Teruel
45588,Herreruela de Oropesa,Herreruela de Oropesa,Toledo
46135,Valencia,Valencia,Valencia
46168,Sot de Chera,Sot de Chera,Valencia
46669,Ènova,Sant Joanet,Valencia
47008,Valladolid,Valladolid,Valladolid
47360,Quintanilla de Arriba,Quintanilla de Arriba,Valladolid
47882,Castromembibre,Castromembibre,Valladolid
48194,Gordexola,Gordexola,Vizcaya
49518,Trabazos,Trabazos,Zamora
49696,Santa María de la Vega,Arrabalde,Zamora
50249,Sestrica,Sestrica,Zaragoza
50830,Zuera,Zuera,Zaragoza
2001,Albacete,Albacete,Albacete
3793,Castell de Castells,Castell de Castells,Alicante
4728,Felix,Felix,Almería
5196,Tornadizos de Ávila,Herradón de Pinares,Ávila
5520,Padiernos,Torre,Ávila
6714,Haba,Haba,Badajoz
7170,Valldemossa,Valldemossa,Baleares
7195,Puigpunyent,Puigpunyent,Baleares
8281,Molsosa,Copons,Lérida
8697,Saldes,Saldes,Barcelona
8735,Vilobí del Penedès,Vilobí del Penedès,Barcelona
9219,Bozoó,Miranda de Ebro,Burgos
9247,Salinillas de Bureba,Galbarros,Burgos
9693,Regumiel de la Sierra,Regumiel de la Sierra,Burgos
14140,Victoria,Victoria,Córdoba
14192,Córdoba,Córdoba,Córdoba
14520,Fernán-Núñez,Fernán-Núñez,Córdoba
15388,Oza dos Ríos,Oza dos Ríos,A Coruña
15814,Sobrado,Sobrado,A Coruña
16270,Villalpardo,Villalpardo,Cuenca
16470,Zarza de Tajo,Zarza de Tajo,Cuenca
17868,Molló,Molló,Gerona
19133,Budia,Budia,Guadalajara
19294,Villaseca de Henares,Castejón de Henares,Guadalajara
20710,Zumarraga,Zumarraga,Guipúzcoa
21760,Almonte,Almonte,Huelva
22216,Lanaja,Lanaja,Huesca
22463,Seira,Seira,Huesca
23340,Arroyo del Ojanco,Segura de la Sierra,Jaén
24443,Carracedelo,Carracedelo,León
25212,Plans de Sió,Plans de Sió,Lérida
25722,Arsèguel,Valls de Valira,Lérida
26585,Arnedillo,Arnedillo,La Rioja
27240,Meira,Meira,Lugo
27279,Pol,Pol,Lugo
27640,Navia de Suarna,Navia de Suarna,Lugo
27863,Viveiro,Viveiro,Lugo
28048,Madrid,Madrid,Madrid
32320,Rubiá,Rubiá,Ourense
32371,Petín,Petín,Ourense
32650,Vilar de Santos,Vilar de Santos,Ourense
32749,Parada de Sil,Parada de Sil,Ourense
32816,Celanova,Celanova,Ourense
34240,Baltanás,Baltanás,Palencia
34430,Piña de Campos,Piña de Campos,Palencia
34830,Salinas de Pisuerga,Salinas de Pisuerga,Palencia
34846,Cervera de Pisuerga,Cervera de Pisuerga,Palencia
36001,Pontevedra,Pontevedra,Pontevedra
36960,Sanxenxo,Sanxenxo,Pontevedra
37186,Barbadillo,San Pedro de Rozados,Salamanca
37214,Valsalabroso,Valsalabroso,Salamanca
37755,Armenteros,Armenteros,Salamanca
38510,Rosario,Rosario,Santa Cruz de Tenerife
39727,Riotuerto,Liérganes,Cantabria
40151,Ituero y Lama,Ituero y Lama,Segovia
40172,Pedraza,Pedraza,Segovia
40191,Espirdo,Espirdo,Segovia
40469,Donhierro,Donhierro,Segovia
41500,Alcalá de Guadaíra,Alcalá de Guadaíra,Sevilla
41740,Lebrija,Lebrija,Sevilla
43372,Bisbal de Falset,Bisbal de Falset,Tarragona
43428,Sarral,Piles,Tarragona
44310,Ródenas,Ródenas,Teruel
44720,Pancrudo,Pancrudo,Teruel
45542,Casar de Escalona,Casar de Escalona,Toledo
46621,Zarra,Ayora,Valencia
46623,Jarafuel,Jarafuel,Valencia
46660,Manuel,Manuel,Valencia
47114,Velilla,Torrecilla de la Abadesa,Valladolid
47177,Amusquillo,Amusquillo,Valladolid
48011,Bilbao,Bilbao,Vizcaya
48210,Otxandio,Otxandio,Vizcaya
48278,Ziortza-Bolibar,Markina-Xemein,Vizcaya
48869,Zalla,Sopuerta,Vizcaya
49324,Asturianos,Rosinos de la Requejada,Zamora
49400,Fuentesaúco,Fuentesaúco,Zamora
49731,Moreruela de los Infanzones,Moreruela de los Infanzones,Zamora
1207,Iruraiz-Gauna,Iruraiz-Gauna,Álava
2460,Villaverde de Guadalimar,Villaverde de Guadalimar,Albacete
3176,Algorfa,Algorfa,Alicante
4746,Mojonera,Mojonera,Almería
5357,Bularros,Bularros,Ávila
5514,Mesegar de Corneja,Bonilla de la Sierra,Ávila
5697,Tormellas,Navalonguilla,Ávila
6193,Badajoz,Badajoz,Badajoz
6428,Benquerencia de la Serena,Benquerencia de la Serena,Badajoz
8016,Barcelona,Barcelona,Barcelona
8033,Barcelona,Barcelona,Barcelona
8505,Santa Eulàlia de Riuprimer,Santa Eulàlia de Riuprimer,Barcelona
8696,Pobla de Lillet,Pobla de Lillet,Barcelona
9141,Abajas,Merindad de Río Ubierna,Burgos
9239,Cayuela,Estépar,Burgos
9349,Pineda Trasmonte,Lerma,Burgos
9640,Tinieblas de la Sierra,Mambrillas de Lara,Burgos
10649,Pesga,Casar de Palomero,Cáceres
10665,Guijo de Granadilla,Guijo de Granadilla,Cáceres
10857,Acebo,Acebo,Cáceres
11005,Cádiz,Cádiz,Cádiz
11690,Olvera,Olvera,Cádiz
12140,Albocàsser,Albocàsser,Castellón
12160,Benasal,Benasal,Castellón
12190,Borriol,Borriol,Castellón
13140,Miguelturra,Miguelturra,Ciudad Real
13390,Alhambra,Alhambra,Ciudad Real
17001,Girona,Girona,Gerona
17251,Calonge,Calonge,Gerona
18656,Lecrín,Lecrín,Granada
19100,Pastrana,Pastrana,Guadalajara
19227,Alarilla,Taragudo,Guadalajara
19328,Morenilla,Morenilla,Guadalajara
19445,Anguita,Anguita,Guadalajara
20820,Deba,Deba,Guipúzcoa
21450,Cartaya,Cartaya,Huelva
22192,Tierz,Loporzano,Huesca
22255,Torres de Barbués,Grañén,Huesca
22283,Lupiñén-Ortilla,Lupiñén-Ortilla,Huesca
22712,Jaca,Jaca,Huesca
23160,Villares,Villares,Jaén
23296,Santiago-Pontones,Santiago-Pontones,Jaén
23660,Alcaudete,Alcaudete,Jaén
24548,Cacabelos,Villafranca del Bierzo,León
24792,Quintana del Marco,Alija del Infantado,León
25318,Agramunt,Agramunt,Lérida
25318,Puigverd d'Agramunt,Agramunt,Lérida
25400,Borges Blanques,Borges Blanques,Lérida
25471,Pobla de Cérvoles,Pobla de Cérvoles,Lérida
25792,Bassella,Bassella,Lérida
27268,Castro de Rei,Castro de Rei,Lugo
27329,Quiroga,Quiroga,Lugo
28006,Madrid,Madrid,Madrid
28649,Rozas de Puerto Real,Rozas de Puerto Real,Madrid
28942,Fuenlabrada,Fuenlabrada,Madrid
30176,Pliego,Pliego,Murcia
30830,Murcia,Murcia,Murcia
32418,Ribadavia,Ribadavia,Ourense
32670,Xunqueira de Ambía,Xunqueira de Ambía,Ourense
32671,Xunqueira de Ambía,Xunqueira de Ambía,Ourense
33810,Ibias,Ibias,Asturias
34111,Saldaña,Saldaña,Palencia
34473,Valderrábano,Valderrábano,Palencia
35007,Palmas de Gran Canaria,Palmas de Gran Canaria,Las Palma
35120,Mogán,Mogán,Las Palma
35637,Betancuria,Puerto del Rosario,Las Palma
36780,Guarda,Guarda,Pontevedra
37217,Villarmuerto,Valsalabroso,Salamanca
37882,Alba de Tormes,Alba de Tormes,Salamanca
39002,Santander,Santander,Cantabria
39300,Torrelavega,Torrelavega,Cantabria
39450,Molledo,Molledo,Cantabria
39728,Miera,Soba,Cantabria
39776,Liendo,Liendo,Cantabria
39800,Ramales de la Victoria,Ramales de la Victoria,Cantabria
40350,Escalona del Prado,Escalona del Prado,Segovia
41760,Coronil,Coronil,Sevilla
42004,Soria,Soria,Soria
42368,Riba de Escalote,Berlanga de Duero,Soria
43710,Santa Oliva,Santa Oliva,Tarragona
44123,Jabaloyas,Albarracín,Teruel
44131,Villel,Villel,Teruel
44394,Bueña,Bueña,Teruel
45003,Toledo,Toledo,Toledo
47190,Wamba,Wamba,Valladolid
47676,Villavicencio de los Caballeros,Villavicencio de los Caballeros,Valladolid
48289,Mendexa,Gizaburuaga,Vizcaya
48395,Sukarrieta,Sukarrieta,Vizcaya
48940,Leioa,Leioa,Vizcaya
50143,Plenas,Moyuela,Zaragoza
50217,Torrijo de la Cañada,Torrijo de la Cañada,Zaragoza
50547,Tabuenca,Bureta,Zaragoza
2328,Albacete,Albacete,Albacete
4650,Zurgena,Zurgena,Almería
4750,Dalías,Dalías,Almería
6519,Codosera,Codosera,Badajoz
7579,Artà,Artà,Baleares
8912,Badalona,Badalona,Barcelona
9272,Belorado,Belorado,Burgos
9471,Santa Cruz de la Salceda,Vid y Barrios,Burgos
9612,Mamolar,Pinilla de los Barruecos,Burgos
10410,Arroyomolinos de la Vera,Arroyomolinos de la Vera,Cáceres
10730,Casas del Monte,Casas del Monte,Cáceres
12119,Costur,Alcora,Castellón
15129,Vimianzo,Vimianzo,A Coruña
15189,Culleredo,Culleredo,A Coruña
15200,Noia,Noia,A Coruña
15872,Val do Dubra,Val do Dubra,A Coruña
16373,Yémeda,Cardenete,Cuenca
17123,Torrent,Torrent,Gerona
17133,Foixà,Foixà,Gerona
17451,Sant Feliu de Buixalleu,Sant Feliu de Buixalleu,Gerona
17460,Celrà,Celrà,Gerona
18513,Ferreira,Ferreira,Granada
19277,Cincovillas,Atienza,Guadalajara
19332,Villel de Mesa,Tartanedo,Guadalajara
19490,Brihuega,Brihuega,Guadalajara
21006,Huelva,Huelva,Huelva
21071,Huelva,Huelva,Huelva
22450,Campo,Foradada del Toscar,Huesca
22591,Candasnos,Candasnos,Huesca
22860,Castiello de Jaca,Aisa,Huesca
24525,Balboa,Balboa,León
24763,Regueras de Arriba,Soto de la Vega,León
24891,Garrafe de Torío,Garrafe de Torío,León
25740,Ponts,Ponts,Lérida
26315,Manjarrés,Santa Coloma,La Rioja
26370,Navarrete,Navarrete,La Rioja
27150,Outeiro de Rei,Outeiro de Rei,Lugo
27162,Corgo,Lugo,Lugo
27359,Bóveda,Bóveda,Lugo
27513,Chantada,Chantada,Lugo
27618,Sarria,Sarria,Lugo
29569,Cártama,Cártama,Málaga
29688,Estepona,Estepona,Málaga
31195,Berrioplano,Berrioplano,Navarra
32162,Nogueira de Ramuín,Nogueira de Ramuín,Ourense
32440,Peroxa,Peroxa,Ourense
32551,Viana do Bolo,Viana do Bolo,Ourense
33842,Somiedo,Somiedo,Asturias
35300,Santa Brígida,Santa Brígida,Las Palma
35307,Santa Brígida,Santa Brígida,Las Palma
35411,Arucas,Arucas,Las Palma
35630,Antigua,Antigua,Las Palma
